Competition,Year,Startup,Funding Post-Competition,Source of Funding,Source,Other Resources/Stories,Researcher,Dead or Alive,Notes,Keywords,,,,,
Caltech First Look West,2012,eHale,,,,,Vincent,,,,,,,,
Clean Energy Trust,2012,Electroluminescent Products,,,,,Vincent,Unsure ,Couldn't Find anything,,,,,,
Rice Business Plan Competition,2015,Elegus Technologies,"$50,000.00",NSF Grant,https://www.research.gov/research-portal/appmanager/base/desktop;jsessionid=6bVnJZlb1YJv3pGNV66ZPXNZ18Mjct2sbTcp6YhRxF1WxPFckyn8!409253227!-342394589?_nfpb=true&_windowLabel=rsrRecentAwards_2&wsrp-urlType=blockingAction&wsrp-url=&wsrp-requiresRewrite=&wsrp-navigationalState=eJyLL07OL0i1Tc-JT0rMUYNQtgBZ6Af8&wsrp-interactionState=wlprsrRecentAwards_2_action%3DviewRsrDetail%26wlprsrRecentAwards_2_fedAwrdId%3D1464101&wsrp-mode=wsrp%3Aview&wsrp-windowState=,"NextEnergy I-Corps Energy and Transportation training program 2014, TechStars accelerator, 3rd Place Global Venture Labs Investment Competition,",Vincent,,Most Recent News regarding Company,,,,,,
,,,"$170,000",Seed raise,https://www.crunchbase.com/funding-round/900466e2358a9702ca51a6c4f29d01d2,,Vincent,,Is in 2015 (mid),,,,,,
Rice Business Plan Competition,2012,Elemental Enzymes,"$660,000.00","Centennial, Allen Angel Capital Education Program, St.",Awardee Reporting,"Missouri Innovation Center (Incubator), research initiative with Bayer CropScience, Won the Walmart Regional Better Living Business Plan Challenge 2012",Vincent,Alive,December 2015 Facebook Post,,,,,,
,,,"$1,000",Rice BPC,http://news.rice.edu/2012/04/17/numat-technologies-from-northwestern-crowned-rice-business-plan-competition-champion-2/,,Vincent,,,,,,,,
Rice Business Plan Competition,2013,EnerLeap (fmr EnerLeap),"$50,000",,Awardee Reporting,MassChallenge CASIS prize,Vincent,Dead,December 2013 Twitter Post,,,,,,
Rice Business Plan Competition,2013,Enkinta Energy,"$1,250",Rice BPC,Awardee Reporting,"Western Cleantech Open Accelerator,",Vincent,,,,,,,,
MIT Clean Energy Prize,2012,Envir Energy,,,,,Vincent,,,,,,,,
Caltech First Look West,2012,Envirohaven,"35,000",Donald W. Reynolds Governor's Cup,,"US utility patent awarded for house design, won 2 2015 BANN-er award categories",Vincent,Alive,Active Facebook,,,,,,
ACC Clean Energy Challenge,2014,EnVIV,,,,,Vincent,,No Information online,,,,,,
Clean Energy Trust,2013,E-Rescue,,,,,Vincent,,,,,,,,
Clean Energy Trust,2012,EVStation,,,,,Vincent,,2013 Facebook Post,,,,,,
Caltech First Look West,2013,EZ Green,"49,895",California Energy Commission,http://www.energy.ca.gov/releases/2013_releases/2013-03-20_EISG_grants.html,"SkyDeck Accelerator, patent",Vincent,,,,,,,,
Clean Energy Trust,2015,FGC Plasma Solutions,"50,000",Aviation Clean Energy Award,http://energy.gov/eere/articles/national-clean-energy-business-plan-competition-fgc-plasma-solutions-wins-2015,"30 under 30, White House Emerging Global Entrepreneur, YEi Start in France accelerator,",Vincent,,March 9th Twitter Post,,,,,,
Clean Energy Trust,2013,"Fischer Enterprises, LLC",,,,,Vincent,,No Facebook Posts,,,,,,
"Rice Business Plan Competition
 Caltech First Look West 2015",2015,Fluency Lighting Technologies,"$50,000.00",NSF I-Corps,http://www.nsf.gov/awardsearch/showAward?AWD_ID=1549853&HistoricalAwards=false,,Vincent,Alive,Video Posted August 2015,,,,,,
,,,"$225,000.00",NSF STTR,,,Vincent,,,,,,,,
Clean Energy Trust,2013,FlyDrive,,,,,Vincent,Dead,,,,,,,
Clean Energy Trust,2014,Fuellent Energy Solutions,,,,,Vincent,Dead,,,,,,,
Clean Energy Trust,2013,Future Tech Farm,"18,000",MCEVC,Venturewell AgTech Accelerator,,Vincent,Dead,CEO changed jobs,,,,,,
Caltech First Look West,2013,Galipi Technologies,,,,,Vincent,,,,,,,,
CU Boulder Clean Energy Competition,2014,Genius Buildings,,,,,Vincent,,,,,,,,
Clean Energy Trust,2012,Glass Tube Recycling,,,,,Vincent,,,,,,,,
ACC Clean Energy Challenge,2013,Granular Systems,,,,,Vincent,,,,,,,,
Clean Energy Trust,2013,Green Coal,"1,000",MCEVC,,,Vincent,,Filed for Bankruptcy,,,,,,
MIT Clean Energy Prize,2014,GreenAnalytix,,,,"Winner Future Energy Online Investor Challenge, Cleantech Open Northeast Accelerator, MassChallenge",Vincent,,No updates since 2014,,,,,,
Caltech First Look West,2012,Greenbotics,"$200,000",,Awardee Reporting,Acquired by SunPower,Vincent,Success!,Bought by SunPower,,,,,,
,,,"$10,000.00",California Clean Innovation Conference,http://dailybruin.com/2012/05/29/anderson_students_present_innovative_business_plans_in_knapp_venture_competition_for_prizes_industry/,,Vincent,,,,,,,,
,,,"15,000",Knapp Venture Competition,,,Vincent,,,,,,,,
MIT Clean Energy Prize,2015,Greenshields,"$10,000.00",Ignition Grant,https://www.linkedin.com/in/jonnycohen,"Halycon Incubator (http://bit.ly/1Pe2dPu),",Vincent,,No Updates since mid 2015,,,,,,
,,,"$1,000.00",MIT Clean Energy,http://news.monster.com/a/business/the-new-inventors-catching-up-with-six-30-under-30-makers-888ac0,,Vincent,,,,,,,,
ACC Clean Energy Challenge,2012,GreenStar,,,,,Vincent,,No Updates Since 2012,,,,,,
ACC Clean Energy Challenge,2014,GreenT,,,,,Vincent,,No Updates Since 2014,,,,,,
MIT Clean Energy Prize,2015,GRIDORDER,"$1,000",MIT Clean Energy,http://cep.mit.edu/cep/content/competition,"PROPEL Accelerator, Cleantech Open Northeast",Vincent,,Latest Update in 2016,,,,,,
Caltech First Look West,2014,GrollTEX,"$25,000.00",California Dreamin Competition,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=1756,"Undisclosed amt. from Triton Fund, StartR incubator, EvoNexus Tech Incubator",Vincent,,No Updates since mid 2015,,,,,,
,,,"$1,000",Founder.org,,,Vincent,,,,,,,,
MIT Clean Energy Prize,2015,GTRACK Technologies,$200.00,Pennvention Semifinalist,"http://pennvention.io/news, http://www.thedp.com/article/2015/04/bionux-reaches-for-first-at-2015-pennvention",Wharton Entrepreneurship Venture Initiation Program,Vincent,,Latest Update March 2016,,,,,,
,,,"$5,000.00",Y Prize Winner,https://yprize.upenn.edu/about/past-winners,,Vincent,,,,,,,,
,,,"$1,000.00",Mit Clean Energy,http://cep.mit.edu/cep/2015/teams/semifinalists,,Vincent,,,,,,,,
,,,1000-4000,M&T Innovation Fund,http://mandtinnovationfund.com/,,Vincent,,,,,,,,
,,,500-5000,Weiss Tech House Innovation Fund,http://www.gtracktechnologies.com/press.html,,Vincent,,,,,,,,
,,,Undisclosed,Dorm Room Fund,https://angel.co/gtrack-technologies,,Vincent,,,,,,,,
Clean Energy Trust,2012,Hollow Core Wind Turbine Generator,,,,,Vincent,,,,,,,,
MIT Clean Energy Prize,2013,Hybrid Wind,,,,,Vincent,,,,,,,,
Clean Energy Trust,2012,Hydraulic Wind Power,,,,,Vincent,,,,,,,,
Rice Business Plan Competition,2015,Hyliion,"$150,000.00",MassChallenge,http://masschallenge.org/,Project Olympus Incubator,Vincent,,Latest Update March 2016,,,,,,
,,,"$10,000.00",Shell Technology Award,http://www.hyliion.com/news-posts/shell-technology-award/,,Vincent,,,,,,,,
,,,"$80,000.00",SURGE Most Innovative Award,http://www.hyliion.com/news/,,Vincent,,,,,,,,
,,,"$7,500.00",Rice BPC 3rd Place,http://www.hyliion.com/news-posts/norton-rose-fulbright-endowment/,,Vincent,,,,,,,,
,,,"$15,000.00",Wells Fargo Clean Energy Innovation,http://energy.gov/eere/articles/hyliion-wins-us-department-energy-clean-tech-prize-2015-rice-business-plan-competition,,Vincent,,,,,,,,
,,,"$25,000.00",Columbia Venture Competition,http://www.engineering.columbia.edu/engineering-entrepreneurs-shine-columbia-venture-competition,,Vincent,,,,,,,,
CU Boulder Clean Energy Competition,2014,IDIAS-BioEnergy,,,,"Village Capital Accelerator, CU Boulder Clean Tech NVC 2nd place,",Vincent,,Latest Update Late 2015,,,,,,
Clean Energy Trust,2014,Imagine Labs,"10,000",Missouri Clean Energy Challenge,,,Vincent,,,,,,,,
MIT Clean Energy Prize,2012,Innoveq,,,,,Vincent,,Have project due for commissioning 2016,,,,,,
Rice Business Plan Competition,2015,Innsystec,"33,009",IKT Business Plan Competition,http://www.gruenderwettbewerb.de/preistraeger/preistraeger/runde-1-2015,"Weconomy 2015 winner, European Venture Contest Award Winner, Top 50 German startup of 2015",Vincent,,Named top 2 startups in germany in 2016,,,,,,
,,,Undisclosed,Exist seed grant,http://innsystec.com/about/#,,Vincent,,,,,,,,
Caltech First Look West,2013,Integrated Power Technologies Corp.,,,,Winner in the 2013 Defense Energy Technology Challenge,Vincent,,,,,,,,
"Rice Business Plan Competition,
 CU Boulder Clean Energy Competition 2013",2014,Inviroment,"$100,000.00",,Awardee Reporting,,Vincent,,,,,,,,
,,,"$2,000.00",UNL Global New Ventur Competition,http://newsroom.unl.edu/announce/todayatunl/2222/12311?utm_campaign=wdn_social&utm_medium=share_this&utm_source=wdn_twitter,,Vincent,,,,,,,,
,,,"2,200",Rice BPC,http://seismos.com/2013-rice-business-plan-competition-awards-1-5-million-and-crowns-world-champion/,,Vincent,,,,,,,,
MIT Clean Energy Prize,2012,Invisergy,"10,000",Wharton Business Plan Competition,https://web.archive.org/web/20140813011153/http://www.thedp.com/article/2012/07/business-competitions-give-startups-a-boost,"MassChallenge, winner of Stanford's eBootcamp Competition, Cleantech Open Northeast",Vincent,,,,,,,,
,,,1000-5000,Wharton Innovation Fund,http://whartonmagazine.com/issues/summer-2012/institutionalizing-entrepreneurial-urges/,,Vincent,,,,,,,,
,,,"$2,500.00",Pennvention 2nd place,http://technical.ly/philly/2012/04/23/kinecthesia-take-top-prize-at-weiss-tech-house-pennvention-competition-to-demo-during-philly-tech-week-video/,,Vincent,,,,,,,,
,,,"$5,000",Catherine B. Reynolds YouPitch Contest,https://te-in.facebook.com/mit100k/posts/241031482664258?stream_ref=5,,Vincent,,,,,,,,
Rice Business Plan Competition,2012,IOMI Technologies,"$3,000.00",,Awardee Reporting,,Vincent,,,,,,,,
,,,$700.00,2012 Rice BPC,http://news.rice.edu/2012/04/17/numat-technologies-from-northwestern-crowned-rice-business-plan-competition-champion/,,Vincent,,,,,,,,
"MIT Clean Energy Prize
 Caltech First Look West 2013",2012,iVEG,,,,,Vincent,,,,,,,,
Rice Business Plan Competition,2014,Kair Energy Systems (fmr Kair Battery),"$120,000.00",Other Competitions,https://buckeyevoices.osu.edu/articles/2015/04/13/a-breathing-battery-for-the-future/,"Student Entrepreneur of the Year Award from VentureNEXT, 30 under 30 Energy, TechColumbus Incubator",Vincent,,,,,,,,
,,,"$2,750.00",Rice Business Plan Competition,https://buckeyevoices.osu.edu/articles/2015/04/13/a-breathing-battery-for-the-future/,,Vincent,,,,,,,,
,,,"$15,000.00",Fisher's Business Plan Competition,https://buckeyevoices.osu.edu/articles/2015/04/13/a-breathing-battery-for-the-future/,,Vincent,,,,,,,,
MIT Clean Energy Prize,2014,Kanoot,5000,Ideas Global Challenge,http://globalchallenge.mit.edu/news/view/369,Cleantech Open,Vincent,,,,,,,,
,,,Undisclosed,Legatum Seed Grant,http://legatum.mit.edu/iap-2014-seed-grants,,Vincent,,,,,,,,
,,,"$1,000.00",MIT Clean Energy Prize,http://www.sparkcleanenergy.org/news/from-waste-to-fuel-kanoot,,Vincent,,,,,,,,
Clean Energy Trust,2013,Kettering CHP,,,,,Vincent,,,,,,,,
MIT Clean Energy Prize,2012,LeanHVAC,,,,,Vincent,,,,,,,,
CU Boulder Clean Energy Competition,2015,Living Ink,$500.00,2nd place CSU Ag Innovation Summit,https://uk.linkedin.com/in/scott-fulbright-phd-aa2b0319,"Launched Kickstarter, Finalist in the SXSW Eco Startup Showcase, CSU Venture Accelerator, Selected as a client company at the Rocky Mountain Innosphere",Vincent,,,,,,,,
,,,"$10,000.00",1st place CU Denver BPC,,,Vincent,,,,,,,,
,,,"$60,000.00",Kickstarter,,,Vincent,,,,,,,,
,,,"$4,000.00",NEVA Program through CSU,,,Vincent,,,,,,,,
Clean Energy Trust,2012,Lost Joules,,,,,Vincent,,,,,,,,
Rice Business Plan Competition,2015,Lucelo Technologies,,,,"NSF SBIR Grant awarded 1/1/15, 30 under 30 energy, DLA Piper Nest",Vincent,,,,,,,,
MIT Clean Energy Prize,2012,Luma Light,"10,000",MIT IDEAS Global Challenge,,,Vincent,,,,,,,,
,,,1000-5000,IAP Seed Grant,,,Vincent,,,,,,,,
Caltech First Look West,2013,Lyxia,"18,700,000","Venture Leader Group seed fund, Chinese Investment",www.lyxia.com,,Vincent,,,,,,,,
ACC Clean Energy Challenge,2014,MANTA,"$40,000.00",Tedco Technology Validation Program,http://www.mantabiofuel.com/,Bethesda Green Incubator,Vincent,,,,,,,,
,,,"$332,274.00",Maryland Industrial Partnerships,,,Vincent,,,,,,,,
,,,"$150,000.00",SBIR,,,Vincent,,,,,,,,
,,,"$150,000.00",Chesapeake Bay Seed Capital Fudn,,,Vincent,,,,,,,,
,,,"$10,000.00",Technology Validation Program Phase 2,,,Vincent,,,,,,,,
Rice Business Plan Competition,2012,Lac Hong Gasifiers (fmr Mekong Green Tech),"$2,250.00",Ideas to SERVE competition,http://www.scheller.gatech.edu/news-events/latest-news/2012/articles/I2Swinners.html,,Vincent,,,,,,,,
,,,"$2,000.00",Georgia Tech BPC,https://www.facebook.com/media/set/?set=a.133203186825827.43299.132849860194493&type=3,,Vincent,,,,,,,,
,,,"$18,500.00",NCIIA grant,https://www.linkedin.com/in/ali-hatch-83090580,,Vincent,,,,,,,,
CU Boulder Clean Energy Competition,2014,MemPrint Dynamics,"$5,000",CSU Blue Ocean Enterprises Collegiate Track Challenge,http://www.innovationews.com/blue-ocean/memprint-dynamics-uses-new-technology-to-double-life-of-ultrafiltration-membranes/,Best new idea CU New Venture Challenge,Vincent,,,,,,,,
ACC Clean Energy Challenge,2012,Mesdi Systems,"$92,000",Engineering Services Contract,Awardee Reporting,,Vincent,,,,,,,,
,,,"$50,000.00",Received funds from Florida IDEA Fund Grant Program,Awardee Reporting,,Vincent,,,,,,,,
ACC Clean Energy Challenge,2012,Mesdi Systems,500,RBPC shark tank round,,,Vincent,,,,,,,,
"Clean Energy Trust
 MIT Clean Energy Prize 2014",2014,Meter Genius,"$25,000.00",McCaffery Prize,http://www.businesswire.com/news/home/20140404005733/en/Clean-Energy-Challenge-Awards-100000-Grand-Prizes,Capitol Innovators Accelerator,Vincent,,,,,,,,
,,,"$10,000.00",Illinois Clean Energy Challenge,http://www.mccormick.northwestern.edu/news/articles/2014/02/northwestern-startup-metergenius-wins-ten-thousand-in-clean-energy-contest.html,,Vincent,,,,,,,,
,,,"$50,000.00",Arch Grant Award,http://www.stltoday.com/business/columns/david-nicklaus/arch-grants-is-changing-st-louis-culture-one-entrepreneur-at/article_c4e36540-ba27-5752-91aa-9aa9aa2c38b4.html,,Vincent,,,,,,,,
,,,"$25,000.00",Lakeside Innovation Award,http://chicagolakesidedevelopment.com/metergenius-awarded-lakeside-award,,Vincent,,,,,,,,
,,,"$50,000.00",Capitol Innovators,http://www.bizjournals.com/stlouis/blog/biznext/2015/02/6-new-startups-to-get-money-from-capital.html,,Vincent,,,,,,,,
,,,"$225,000",Angel/Seed Funds,Awardee Reporting,,Vincent,,,,,,,,
ACC Clean Energy Challenge,2014,MF Fire (frm Mulciber Stoves),"100,000",Tedco Maryland Innovation Initiative Grant,http://mffire.com/,Taylor Myers Maryland Innovator of the Year 2014,Vincent,,,,,,,,
MIT Clean Energy Prize,2014,,"$1,000.00",Wod Stove Decathlon 2014,,,Vincent,,,,,,,,
,,,"$25,000.00",MIT Clean Energy Trust,,,Vincent,,,,,,,,
Clean Energy Trust,2013,Midwest Biofuels Analytica,,,,,Vincent,,,,,,,,
"Rice Business Plan Competition, Clean Energy Trust",2012,Mimas Nanosystems (fmr Bagpipe Technologies),"$101,500",WM at Rice BPC,https://www.wm.com/about/press-room/pdfs/Rice_TG_Award.pdf,,Vincent,,,,,,,,
Caltech First Look West,2012,Modphalt,,,,,Vincent,,,,,,,,
ACC Clean Energy Challenge,2012,Mud Power,,,,,Vincent,,,,,,,,
Caltech First Look West,2013,Muir Data Systems (fmr Blue Dot Analytics,,,,,Vincent,,,,,,,,
Rice Business Plan Competition,2013,MuPor Technologies,$600,,Awardee Reporting,,Vincent,,,,,,,,
Caltech First Look West,2014,MuTherm,"5,000",FLOW transformation award,,OSU Advantage Accelerator,Vincent,,,,,,,,
Caltech First Look West,2013,NanoFoundry,"$180,000",SoCAL TAP,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=1407,,Alex,Alive,Active website,,,,,,
Clean Energy Trust,2012,NanoHarv Technologies,$500,Other Competitions,Awardee Reporting,,Alex,Dead,Founder goes to other company,,,,,,
CU Boulder Clean Energy Competition,2013,NanoSyth,,,,,Alex,Dead,No info besides getting the prize,,,,,,
MIT Clean Energy Prize,2015,Navi-Chem,"$10,000.00",MIT IDEAS Global Challenge,http://www.studyranger.com/en/news/19787,,Alex,,"Does not form a company, research group",,,,,,
,,,"$35,000",MIT CEP Renewable Energy Winner,http://www.renewableenergyworld.com/articles/2015/06/mit-clean-energy-prize-awards-400000-to-energy-efficiency-renewable-ventures.html,,Alex,,,,,,,,
CU Boulder Clean Energy Competition,2012,Navillum,"$150,000",SBIR/STTR,Awardee Reporting,"Cleantech Open, 2014 Utah Innovations Winner, Governor's Excellence in Energy Award,",Alex,,Last active info was May 2015,,,,,,
,,,"$40,000",Other Competitions,Awardee Reporting,,Alex,,Website under maintaince,,,,,,
,,,"$30,000.00",Other Competitions,Awardee Reporting,,Alex,,Was an innovator in industry,,,,,,
,,,"$877,473.00",SBIR Phase 2,http://www.nsf.gov/awardsearch/showAward?AWD_ID=1430979&HistoricalAwards=false,,Alex,,,,,,,,
CU Boulder Clean Energy Competition,2012,N-Core Technologies,,,,,Alex,,,,,,,,
Clean Energy Trust,2015,NetEnergy,,,,,Alex,Dead,,,,,,,
Caltech First Look West,2015,NexTint,"$35,000",MIT CET Environmental Efficiency category winner,,,Alex,Alive,Entered MIT clean energy prize 2016,,,,,,
"MIT Clean Energy Prize, Rice Business Plan Competition, First Look West",2014,NextPotential,"$48,000.00",Seed raise,https://i3connect.com/company/nextpotential,"Arizona Furnace Accelerator Program, Cleantech Open",Alex,Alive,,,,,,,
,,,"$2,000.00",The Big Sell Competition,http://www.thebigsell.org/Winners2014,,Alex,,,,,,,,
,,,Undisclosed,Furnace Technology Transfer Accelerator Winner,https://www.facebook.com/nextpotential/info/?tab=page_info,,Alex,,,,,,,,
,,,Undisclosed,ASU Edson Competition,https://www.facebook.com/nextpotential/info/?tab=page_info,,Alex,,,,,,,,
,,,"$30,000.00",Flinn Foundation Grant,http://www.flinn.org/bioscience/arizonas-bioscience-roadmap/entrepreneurship-program/,,Alex,,,,,,,,
,,,Undisclosed,Arizona Innovation Challenge,http://www.azcommerce.com/news-events/press-releases/arizona-commerce-authority-announces-semifinalists-in-the-spring-2015-arizona-innovation-challenge,,Alex,,,,,,,,
Rice Business Plan Competition,2012,NGen Corporation,"131,000",,Awardee Reporting,"30 under 30 energy, 2015 TechCrunch Disrupt People's Choice Winner",Alex,,,,,,,,
Rice Business Plan Competition,2015,Nikola Labs,"$1,250,000.00",Seed fund,http://www.bizjournals.com/columbus/news/2015/06/24/ohio-state-spinoff-raises-1-25m-for-battery.html,,Alex,,,,,,,,
,,,"$100,000.00",Ohio Third Frontier,https://www.crunchbase.com/organization/nikola-labs-llc#/entity,,Alex,,,,,,,,
,,,"$17,000.00",Ohio State BPC,https://engineering.osu.edu/news/2015/04/engineering-students-take-business-plans-next-level,,Alex,,,,,,,,
Caltech First Look West,2013,Nikoo Energy,,,,,Alex,,Founder is working in other company,,,,,,
Clean Energy Trust,2012,NuMat Technologies,"$300,000",Convertible Note,http://www.builtinchicago.org/2015/04/15/northwestern-born-startups-score-half-available-funding-clean-energy-challenge,,Alex,,,,,,,,
Clean Energy Trust,2012,NuMat Technologies,"$900,000",Debt financing,https://www.crunchbase.com/organization/numat-technologies#/entity,,Alex,,,,,,,,
Clean Energy Trust,2012,NuMat Technologies,"$3,510,000",Venture funding,https://www.crunchbase.com/organization/numat-technologies#/entity,,Alex,,,,,,,,
Clean Energy Trust,2012,NuMat Technologies,"$2,000,000.00",Seed raise,https://www.crunchbase.com/organization/numat-technologies#/entity,,Alex,,,,,,,,
,,,"$1,000,000.00",SBIR Phase 2,http://www.nsf.gov/awardsearch/showAward?AWD_ID=1315059&HistoricalAwards=false,,Alex,,,,,,,,
,,,"$150,000.00",SBIR Phase 1,http://www.nsf.gov/awardsearch/showAward?AWD_ID=1430682&HistoricalAwards=false,,Alex,,,,,,,,
,,,"$10,000.00",CET,,,Alex,,,,,,,,
,,,"$80,000.00",Nat'l BPC,,,Alex,,,,,,,,
,,,"$774,300.00",Rice BPC,,,Alex,,,,,,,,
,,,"$135,000.00",Global Venture Labs Investment,http://news.utexas.edu/2012/05/08/venture_labs,,Alex,,,,,,,,
Clean Energy Trust,2012,Nusku Energy Applications,,,,,Alex,,Temporary research group,,,,,,
Clean Energy Trust,2013,NutriCycle Solutions,,,,,Alex,,,,,,,,
MIT Clean Energy Prize,2013,OpenWater Power,"450,000",US Navy,http://www.boston.com/business/technology/innoeco/2014/01/openwater_power_developing_new.html,"3rd place Future Energy @ MIT, Greentown Labs",Alex,,,,,,,,
Clean Energy Trust,2013,OptimEV,"5,000",New Venture Competition,https://www.cmich.edu/colleges/cba/alumni/exchange/Documents/Exchange_Summer2013.pdf,,Alex,,,,,,,,
ACC Clean Energy Challenge,2014,Optimum Cooling Solutions (OCS),,,,,Alex,,Founder goes to get his PhD ,,,,,,
"Caltech First Look West, Rice Business Plan Competition",2015,Opus 12 (fmr Obtainium),"$500,000.00",Cyclotron Road,,"Cyclotron Road, Tomkat grant, Winner Fortune Magazine Cool Company",Alex,,,,,,,,
,,,"$10,000.00",Ocean Big Pitch,http://www.oceanexchange.org/event-section/big-pitch/,,Alex,,,,,,,,
Rice Business Plan Competition,2014,Oxy-Zn,,,,,Alex,,Research group in University of Waterloo,,,,,,
"MIT Clean Energy Prize, Rice Business Plan Competition",2013,Picasolar,"$1,200,000",Equity finance and state funds,Awardee Reporting,"“Nation’s Top New Inventors” by Inventors Digest, Genesis Technology Incubator, South Centra Cleantech Open, SXSW Eco Startup Winner, Douglas was named one of Arkansas Business “Top 20 in their 20s” and subsequently a ""40 under 40"", a Northwest Arkansas Business Journal “Fast 15”, and a winner of a 2015 Edison Award, Honored Entrepreneur at First White House Demo Day",Alex,,,,,,,,
,,,"$800,000",U.S. Department of Energy (DOE),Awardee Reporting,,Alex,,,,,,,,
,,,"$500,000",U.S. Department of Energy (DOE),Awardee Reporting,,Alex,,,,,,,,
,,,"$150,000.00",MIT Clean Energy Prize (other prizes),Awardee Reporting,,Alex,,,,,,,,
,,,"$25,000.00",Arkansas Governor's Cup,http://news.uark.edu/articles/20844/university-of-arkansas-sweeps-top-three-graduate-division-spots-at-governor-s-cup,,Alex,,,,,,,,
,,,"$20,000.00",IBK Capital-Ivey Business Plan Competition,http://news.uark.edu/articles/20844/university-of-arkansas-sweeps-top-three-graduate-division-spots-at-governor-s-cup,,Alex,,,,,,,,
,,,"$2,500.00",New Venture Championship,http://news.uark.edu/articles/20844/university-of-arkansas-sweeps-top-three-graduate-division-spots-at-governor-s-cup,,Alex,,,,,,,,
,,,"$1,000.00",Rice BPC,http://seismos.com/2013-rice-business-plan-competition-awards-1-5-million-and-crowns-world-champion/,,Alex,,,,,,,,
,,,"$10,000.00",Cleantech Open Regional,http://innovation.arkansasbusiness.com/blog/post/8435/picasolar-wins-cleantech-regional-open-selected-for-nrel-growth-forum,,Alex,,,,,,,,
,,,"6,000",Stu Clark Investment Competition,https://www.highbeam.com/doc/1G1-323981518.html,,Alex,,,,,,,,
Clean Energy Trust,2012,Pico Spray,"$33,000.00",Michigan Microloan Fund,http://www.secondwavemedia.com/concentrate/innovationnews/PicoSprayannarbor0264.aspx,"Ann Arbor SPARK accel., TechArb UM incubator",Alex,,Series A last year(1 mil),,,,,,
,,,"$25,000.00",Accelerate Michigan Innovation Competition,http://acceleratemichigan.org/ann-arbor-startups-score-big-wins-at-accelerate-michigan/,,Alex,,No reason to die,,,,,,
,,,"$1,000,000.00",Series A,https://www.crunchbase.com/organization/picospray#/entity,,Alex,,,,,,,,
,,,"$50,000.00",Invest Michigan,http://www.michipreneur.com/5-startups-receive-3-million-from-michigan-pre-seed-fund-and-partners/,,Alex,,,,,,,,
,,,"$25,000",Michigan Clean Energy Venture Challenge,,,Alex,,,,,,,,
Clean Energy Trust,2012,PiezoPowerTech,"$55,000",Michigan CET,Awardee Reporting,,Alex,,,,,,,,
